folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0762592922,7031,2,4,1,1,1,87,3,2,1,3,0,20557.47,16751.73,2847.83,642.85,0.0,586.95,0.0
0762592923,7031,3,4,1,1,1,52,2,1,1,2,0,14543.89,13382.6,3702.15,2044.23,0.0,0.0,0.0
0762592924,7031,2,4,1,6,1,35,5,3,2,2,3,17927.91,17056.95,9508.82,5502.81,0.0,0.0,1609.21
0762593201,7041,2,4,2,3,1,76,3,2,1,3,0,29638.4,7417.58,8191.15,4654.22,0.0,1173.9,1318.89
0762593202,7041,2,4,2,3,1,62,4,2,2,3,1,59448.91,49128.12,11543.38,6338.48,290.32,29.34,870.96
0762593203,7041,2,4,2,4,1,50,4,3,1,4,0,43711.51,34589.66,21910.16,7508.5,0.0,684.77,3317.96
0762593204,7041,3,4,2,4,1,50,4,2,2,4,0,77964.18,55429.11,33306.87,14027.01,0.0,445.09,3720.25
0762593205,7041,3,4,2,4,1,65,8,3,5,8,0,53737.29,29915.57,28738.85,10478.44,383.21,626.06,3859.16
0762593206,7041,3,4,2,4,2,60,2,0,2,2,0,11136.98,6619.44,14664.6,10144.17,66.76,0.0,2347.44
0762593407,7041,2,4,2,6,1,51,4,2,2,4,0,24220.35,19865.52,22667.04,11674.17,0.0,489.12,2322.58
0762593408,7041,1,4,2,4,2,46,1,0,1,1,0,21114.27,633.91,13626.44,6479.93,0.0,489.13,2903.22
0762593409,7041,3,4,2,6,2,54,3,0,3,3,0,21979.29,19076.07,18234.03,10761.34,0.0,1173.9,1542.85
0762593410,7041,2,4,2,10,1,51,3,1,2,3,0,27889.94,22051.94,18997.62,7058.52,1374.18,293.47,5142.84
0762593411,7041,2,4,2,6,1,31,3,1,2,2,1,27307.14,21500.69,31961.91,21535.61,1751.61,293.47,2903.22
0762593412,7041,3,4,2,4,1,71,3,1,2,3,0,36675.46,24999.45,27294.56,17665.6,1751.61,342.38,900.0
0762593613,7041,3,4,2,3,1,46,10,4,6,9,1,16206.86,4305.23,18612.93,3792.81,0.0,586.95,1800.0
0762593614,7041,3,4,2,4,1,47,5,2,3,5,0,14198.36,6698.36,29091.37,8871.37,0.0,0.0,4500.0
0762593615,7041,3,4,2,4,1,65,6,1,5,4,2,32565.83,9941.3,14117.8,5271.36,3900.0,166.29,0.0
0762593616,7041,2,4,2,4,1,42,3,1,2,3,0,65364.3,60435.73,23909.15,5759.94,2228.85,29.34,4891.47
0762593617,7041,3,4,2,3,2,65,8,3,5,7,1,28863.92,16937.7,30224.15,14001.36,300.0,1565.2,8250.0
0762593618,7041,1,4,2,3,2,70,1,0,1,1,0,13452.76,616.72,11616.45,5039.94,0.0,0.0,0.0
0762593819,7041,2,4,2,4,1,72,5,3,2,3,2,21654.08,9801.63,16401.55,9527.04,1185.0,0.0,0.0
0762593820,7041,2,4,2,3,1,32,3,2,1,2,1,29984.24,14541.63,13834.19,5785.62,855.0,459.77,600.0
0762593821,7041,2,4,2,4,2,44,2,0,2,1,1,26704.9,0.0,23467.9,13217.01,1784.99,440.21,3107.13
0762593822,7041,3,4,2,3,1,90,5,2,3,4,1,20728.49,2974.42,22771.81,10195.6,675.0,2140.4,1842.82
0762593823,7041,2,4,2,3,1,73,4,1,3,4,0,29319.81,14516.55,24045.88,8511.3,0.0,4005.96,2592.84
0762593824,7041,2,4,2,4,2,29,2,0,2,1,1,39466.49,0.0,23622.35,7971.3,393.65,728.79,600.0
0762594019,7041,2,4,1,4,1,25,5,2,3,2,3,15033.64,12130.42,10048.48,6846.35,220.63,0.0,642.85
0762594020,7041,2,4,1,4,1,53,2,1,1,2,0,30814.08,21878.78,48387.91,22718.35,0.0,3717.37,6490.07
0762594021,7041,2,4,1,1,2,54,4,2,2,4,0,11218.43,8315.21,9591.43,8254.21,0.0,0.0,0.0
0762594022,7041,3,4,1,3,1,63,9,5,4,6,3,39515.49,15029.0,25380.07,15505.56,0.0,3922.82,1761.29
0762594023,7041,2,4,1,4,2,36,4,2,2,4,0,23822.2,4793.46,17567.81,9449.9,696.76,0.0,1309.21
0762594024,7041,2,4,1,1,1,85,2,1,1,2,0,16093.95,0.0,34308.94,21098.42,0.0,7532.59,2828.56
0762594301,7041,2,4,1,6,1,24,3,1,2,2,1,11440.38,6704.99,27902.16,16714.01,0.0,24.45,10783.39
0762594302,7041,2,4,1,6,1,42,6,1,5,4,2,43984.84,5758.04,34806.28,11018.46,9550.12,361.94,4242.82
0762594303,7041,3,4,1,3,1,47,5,2,3,5,0,39971.97,10110.31,103642.55,25688.33,5416.12,899.99,46056.59
0762594305,7041,2,4,1,4,1,37,3,2,1,2,1,52306.19,30276.18,27691.23,8819.88,150.0,1134.76,150.0
